rows,dim,dtype,format,warps,trial,had_ms,fused_ms
8192,64,2,1,1,0,0.00911985,0.0584003
8192,64,2,1,2,0,0.00852823,0.041759
8192,64,2,1,4,0,0.00851826,0.0339112
8192,64,2,1,8,0,0.00850515,0.0306973
8192,64,2,1,16,0,0.00849441,0.0306104
8192,64,2,1,16,1,0.00849515,0.0305741
8192,64,2,1,8,1,0.00850131,0.0306937
8192,64,2,1,4,1,0.00851,0.033851
8192,64,2,1,2,1,0.00852779,0.0416988
8192,64,2,1,1,1,0.00911841,0.0583383
8192,64,2,1,1,2,0.00912228,0.0583702
8192,64,2,1,2,2,0.00855249,0.041871
8192,64,2,1,4,2,0.00857741,0.0341308
8192,64,2,1,8,2,0.008565,0.030862
8192,64,2,1,16,2,0.00855559,0.0309134
8192,128,1,0,1,0,0.0158087,0.0254062
8192,128,1,0,2,0,0.0119908,0.0251757
8192,128,1,0,4,0,0.0119584,0.0251462
8192,128,1,0,8,0,0.0119517,0.0252183
8192,128,1,0,16,0,0.0119254,0.025239
8192,128,1,0,16,1,0.0119439,0.0253431
8192,128,1,0,8,1,0.0119437,0.0252228
8192,128,1,0,4,1,0.0119166,0.0252496
8192,128,1,0,2,1,0.0119694,0.0253176
8192,128,1,0,1,1,0.0158,0.0253858
8192,128,1,0,1,2,0.0158052,0.0254016
8192,128,1,0,2,2,0.0119827,0.0252378
8192,128,1,0,4,2,0.0119214,0.025133
8192,128,1,0,8,2,0.011953,0.0252354
8192,128,1,0,16,2,0.0119363,0.0252717
8192,128,1,1,1,0,0.0157946,0.104817
8192,128,1,1,2,0,0.0120052,0.0720507
8192,128,1,1,4,0,0.0120039,0.0558596
8192,128,1,1,8,0,0.0120534,0.0487757
8192,128,1,1,16,0,0.0120782,0.0486246
8192,128,1,1,16,1,0.0121154,0.0488268
8192,128,1,1,8,1,0.012167,0.0489807
8192,128,1,1,4,1,0.0121051,0.0562183
8192,128,1,1,2,1,0.0121142,0.0722193
8192,128,1,1,1,1,0.0158046,0.105245
8192,128,1,1,1,2,0.0158037,0.105066
8192,128,1,1,2,2,0.012142,0.0724788
8192,128,1,1,4,2,0.0121586,0.0563201
8192,128,1,1,8,2,0.012117,0.048948
8192,128,1,1,16,2,0.0121354,0.048838
8192,128,2,0,1,0,0.0158284,0.0256457
8192,128,2,0,2,0,0.0124727,0.0254791
8192,128,2,0,4,0,0.0124251,0.0255529
8192,128,2,0,8,0,0.0124206,0.0254446
8192,128,2,0,16,0,0.0123794,0.0255202
8192,128,2,0,16,1,0.0124018,0.025474
8192,128,2,0,8,1,0.0124466,0.0255122
8192,128,2,0,4,1,0.0124482,0.0254701
8192,128,2,0,2,1,0.0124973,0.0254433
8192,128,2,0,1,1,0.0158293,0.0256454
8192,128,2,0,1,2,0.0158309,0.0257166
8192,128,2,0,2,2,0.0124711,0.0254763
8192,128,2,0,4,2,0.0124362,0.0255296
8192,128,2,0,8,2,0.0124566,0.02554
8192,128,2,0,16,2,0.0123993,0.0255663
8192,128,2,1,1,0,0.0158371,0.104957
8192,128,2,1,2,0,0.0124759,0.0723351
8192,128,2,1,4,0,0.0124817,0.0563587
8192,128,2,1,8,0,0.0125376,0.0494243
8192,128,2,1,16,0,0.012572,0.0493736
8192,128,2,1,16,1,0.012531,0.0493553
8192,128,2,1,8,1,0.012602,0.0493793
8192,128,2,1,4,1,0.0125817,0.0564659
8192,128,2,1,2,1,0.0125574,0.0726969
8192,128,2,1,1,1,0.01583,0.105518
8192,128,2,1,1,2,0.0158326,0.105493
8192,128,2,1,2,2,0.0126796,0.0727932
8192,128,2,1,4,2,0.0126206,0.0568024
8192,128,2,1,8,2,0.0126201,0.0496796
8192,128,2,1,16,2,0.0125907,0.0495026
8192,256,1,0,1,0,0.0294256,0.0407502
8192,256,1,0,2,0,0.0198106,0.0425841
8192,256,1,0,4,0,0.0197594,0.0426393
8192,256,1,0,8,0,0.019776,0.042608
8192,256,1,0,16,0,0.0197336,0.0425856
8192,256,1,0,16,1,0.0197438,0.0425521
8192,256,1,0,8,1,0.0197893,0.0424562
8192,256,1,0,4,1,0.0197772,0.0426206
8192,256,1,0,2,1,0.0197992,0.042604
8192,256,1,0,1,1,0.0294341,0.040755
8192,256,1,0,1,2,0.0294271,0.0407556
8192,256,1,0,2,2,0.0198154,0.042667
8192,256,1,0,4,2,0.0197764,0.0425616
8192,256,1,0,8,2,0.0197743,0.0425506
8192,256,1,0,16,2,0.019784,0.0425891
8192,256,1,1,1,0,0.0294297,0.196122
8192,256,1,1,2,0,0.0198547,0.1324
8192,256,1,1,4,0,0.0199573,0.100185
8192,256,1,1,8,0,0.0199754,0.0847262
8192,256,1,1,16,0,0.0199237,0.0847904
8192,256,1,1,16,1,0.0199476,0.084677
8192,256,1,1,8,1,0.0199997,0.0847314
8192,256,1,1,4,1,0.0200044,0.100021
8192,256,1,1,2,1,0.0199759,0.132655
8192,256,1,1,1,1,0.0294324,0.196445
8192,256,1,1,1,2,0.0294217,0.196693
8192,256,1,1,2,2,0.0200094,0.132688
8192,256,1,1,4,2,0.0199557,0.100153
8192,256,1,1,8,2,0.020004,0.0846025
8192,256,1,1,16,2,0.0199436,0.0845184
8192,256,2,0,1,0,0.0294466,0.0414172
8192,256,2,0,2,0,0.0207952,0.043197
8192,256,2,0,4,0,0.0207952,0.043247
8192,256,2,0,8,0,0.0208019,0.0431958
8192,256,2,0,16,0,0.0207823,0.0431394
8192,256,2,0,16,1,0.0207815,0.0431569
8192,256,2,0,8,1,0.0208066,0.0432421
8192,256,2,0,4,1,0.0208065,0.0431963
8192,256,2,0,2,1,0.0208045,0.0432503
8192,256,2,0,1,1,0.0294419,0.0414138
8192,256,2,0,1,2,0.0294442,0.0415946
8192,256,2,0,2,2,0.0208326,0.0433207
8192,256,2,0,4,2,0.0208416,0.0432826
8192,256,2,0,8,2,0.0208283,0.0433101
8192,256,2,0,16,2,0.0207499,0.0431791
8192,256,2,1,1,0,0.0294419,0.196921
8192,256,2,1,2,0,0.0209056,0.133125
8192,256,2,1,4,0,0.0209626,0.100958
8192,256,2,1,8,0,0.0209841,0.0862014
8192,256,2,1,16,0,0.0209748,0.0861168
8192,256,2,1,16,1,0.0209506,0.0859949
8192,256,2,1,8,1,0.0210142,0.0860932
8192,256,2,1,4,1,0.0209811,0.100962
8192,256,2,1,2,1,0.0210036,0.133465
8192,256,2,1,1,1,0.0294587,0.197222
8192,256,2,1,1,2,0.0294526,0.197262
8192,256,2,1,2,2,0.021009,0.133453
8192,256,2,1,4,2,0.0209943,0.100833
8192,256,2,1,8,2,0.0210064,0.0861404
8192,256,2,1,16,2,0.0209861,0.0860414
8192,512,1,0,1,0,0.0332869,0.0704084
8192,512,1,0,2,0,0.0324289,0.0740178
8192,512,1,0,4,0,0.0324511,0.0741244
8192,512,1,0,8,0,0.0324716,0.0741349
8192,512,1,0,16,0,0.0324974,0.0740594
8192,512,1,0,16,1,0.0325505,0.0740759
8192,512,1,0,8,1,0.0326158,0.0742612
8192,512,1,0,4,1,0.0326221,0.0743763
8192,512,1,0,2,1,0.0326426,0.0743422
8192,512,1,0,1,1,0.0334678,0.0706031
8192,512,1,0,1,2,0.0334806,0.0706784
8192,512,1,0,2,2,0.0326589,0.0743458
8192,512,1,0,4,2,0.0326221,0.0742996
8192,512,1,0,8,2,0.0326246,0.0744057
8192,512,1,0,16,2,0.0326011,0.0742468
8192,512,1,1,1,0,0.033284,0.245557
8192,512,1,1,2,0,0.032556,0.183507
8192,512,1,1,4,0,0.0326343,0.150912
8192,512,1,1,8,0,0.032625,0.146025
8192,512,1,1,16,0,0.0326424,0.145689
8192,512,1,1,16,1,0.0326292,0.14566
8192,512,1,1,8,1,0.0326434,0.146036
8192,512,1,1,4,1,0.0326575,0.151073
8192,512,1,1,2,1,0.0326376,0.183801
8192,512,1,1,1,1,0.0334797,0.245929
8192,512,1,1,1,2,0.0334769,0.245935
8192,512,1,1,2,2,0.0326282,0.183805
8192,512,1,1,4,2,0.0326749,0.15109
8192,512,1,1,8,2,0.0326191,0.146039
8192,512,1,1,16,2,0.032631,0.145636
8192,512,2,0,1,0,0.0353546,0.0716345
8192,512,2,0,2,0,0.0345043,0.0753016
8192,512,2,0,4,0,0.0345185,0.0753945
8192,512,2,0,8,0,0.0346063,0.0755862
8192,512,2,0,16,0,0.0346781,0.0755296
8192,512,2,0,16,1,0.0346863,0.0755947
8192,512,2,0,8,1,0.034662,0.0756147
8192,512,2,0,4,1,0.0347199,0.075654
8192,512,2,0,2,1,0.0347224,0.0757117
8192,512,2,0,1,1,0.0354962,0.071917
8192,512,2,0,1,2,0.0355199,0.0719009
8192,512,2,0,2,2,0.0346998,0.0756547
8192,512,2,0,4,2,0.0346757,0.0756578
8192,512,2,0,8,2,0.0346956,0.0757217
8192,512,2,0,16,2,0.0346802,0.0755269
8192,512,2,1,1,0,0.0353608,0.246937
8192,512,2,1,2,0,0.0345969,0.184926
8192,512,2,1,4,0,0.0347029,0.152566
8192,512,2,1,8,0,0.034683,0.148965
8192,512,2,1,16,0,0.0347006,0.148389
8192,512,2,1,16,1,0.034683,0.148381
8192,512,2,1,8,1,0.0346858,0.149022
8192,512,2,1,4,1,0.0347259,0.152709
8192,512,2,1,2,1,0.0346802,0.185314
8192,512,2,1,1,1,0.035498,0.247374
8192,512,2,1,1,2,0.0355287,0.247325
8192,512,2,1,2,2,0.0346843,0.185181
8192,512,2,1,4,2,0.03473,0.1527
8192,512,2,1,8,2,0.0346904,0.14894
8192,512,2,1,16,2,0.034683,0.148384
8192,1024,1,0,1,0,0.0671798,0.145132
8192,1024,1,0,2,0,0.0670489,0.148317
8192,1024,1,0,4,0,0.0671064,0.148276
8192,1024,1,0,8,0,0.0672831,0.148843
8192,1024,1,0,16,0,0.0673026,0.14962
8192,1024,1,0,16,1,0.0673249,0.149635
8192,1024,1,0,8,1,0.0670592,0.148871
8192,1024,1,0,4,1,0.0670568,0.148288
8192,1024,1,0,2,1,0.067149,0.148615
8192,1024,1,0,1,1,0.0673279,0.145352
8192,1024,1,0,1,2,0.0673802,0.145367
8192,1024,1,0,2,2,0.0672281,0.14869
8192,1024,1,0,4,2,0.0672323,0.148616
8192,1024,1,0,8,2,0.0671977,0.148846
8192,1024,1,0,16,2,0.0671601,0.149762
8192,1024,1,1,1,0,0.0671805,0.34621
8192,1024,1,1,2,0,0.0671049,0.295325
8192,1024,1,1,4,0,0.0672444,0.274785
8192,1024,1,1,8,0,0.0672936,0.275927
8192,1024,1,1,16,0,0.067255,0.275191
8192,1024,1,1,16,1,0.0673355,0.275442
8192,1024,1,1,8,1,0.0672658,0.275847
8192,1024,1,1,4,1,0.0671962,0.274692
8192,1024,1,1,2,1,0.0671597,0.295375
8192,1024,1,1,1,1,0.0673151,0.346421
8192,1024,1,1,1,2,0.0673228,0.346403
8192,1024,1,1,2,2,0.0671052,0.295341
8192,1024,1,1,4,2,0.0671862,0.274792
8192,1024,1,1,8,2,0.0672894,0.27556
8192,1024,1,1,16,2,0.0673169,0.275303
8192,1024,2,0,1,0,0.0690349,0.146687
8192,1024,2,0,2,0,0.0685843,0.150406
8192,1024,2,0,4,0,0.068692,0.150679
