Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,ascend_had,AI_CORE,46,136,7.220,1789889660727758.037	,1789889660727765.257	
0,ascend_max_finish,AI_CORE,46,137,2.600,1789889660727765.277	,1789889660727767.877	
0,ascend_quant,AI_CORE,46,138,9.200,1789889660727767.897	,1789889660727777.097	
0,ascend_prepare,AI_CORE,46,139,15.000,1789889660727777.117	,1789889660727792.117	
0,ascend_cube,AI_CORE,46,140,4.360,1789889660727792.157	,1789889660727796.517	
0,ascend_had,AI_CORE,46,141,7.460,1789889660727796.537	,1789889660727803.998	
0,ascend_max_finish,AI_CORE,46,142,2.840,1789889660727804.038	,1789889660727806.878	
0,ascend_quant,AI_CORE,46,143,8.660,1789889660727806.918	,1789889660727815.578	
0,N/A,EVENT_RECORD,46,144,0.020,1789889660727845.438	,1789889660727845.458	
0,ascend_prepare,AI_CORE,46,145,15.080,1789889660727846.858	,1789889660727861.939	
0,ascend_cube,AI_CORE,46,146,4.320,1789889660727861.959	,1789889660727866.279	
0,ascend_had,AI_CORE,46,147,7.060,1789889660727866.299	,1789889660727873.359	
0,ascend_max_finish,AI_CORE,46,148,2.420,1789889660727873.379	,1789889660727875.799	
0,ascend_quant,AI_CORE,46,149,9.060,1789889660727875.819	,1789889660727884.879	
0,ascend_prepare,AI_CORE,46,150,15.220,1789889660727884.899	,1789889660727900.119	
0,ascend_cube,AI_CORE,46,151,5.200,1789889660727900.139	,1789889660727905.340	
0,ascend_had,AI_CORE,46,152,6.980,1789889660727905.360	,1789889660727912.340	
0,ascend_max_finish,AI_CORE,46,153,2.680,1789889660727912.360	,1789889660727915.040	
0,ascend_quant,AI_CORE,46,154,8.640,1789889660727915.060	,1789889660727923.700	
0,N/A,EVENT_RECORD,46,155,0.020,1789889660727923.720	,1789889660727923.740	
0,N/A,PROFILING_DISABLE,49,4,0.000,1789889660729269.607	,1789889660729269.607	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1789889660729328.568	,1789889660729328.588	
