rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,64,2,0,2,2,0.00197931,0.00221184
32,64,2,0,4,2,0.00192512,0.00221867
32,64,2,0,8,2,0.00198677,0.00232107
32,64,2,0,16,2,0.00197973,0.00233429
32,64,2,1,1,0,0.00197291,0.00541355
32,64,2,1,2,0,0.00195925,0.00535211
32,64,2,1,4,0,0.00195243,0.00546133
32,64,2,1,8,0,0.00197973,0.00556373
32,64,2,1,16,0,0.00200683,0.00565248
32,64,2,1,16,1,0.00195243,0.005632
32,64,2,1,8,1,0.00197973,0.00555008
32,64,2,1,4,1,0.00198656,0.00536576
32,64,2,1,2,1,0.00198656,0.00537941
32,64,2,1,1,1,0.00198656,0.00543403
32,64,2,1,1,2,0.00195925,0.00543403
32,64,2,1,2,2,0.00189717,0.00535893
32,64,2,1,4,2,0.00197291,0.00544085
32,64,2,1,8,2,0.00198656,0.00555691
32,64,2,1,16,2,0.00200021,0.00564565
32,128,1,0,1,0,0.00199339,0.00221184
32,128,1,0,2,0,0.002048,0.00222549
32,128,1,0,4,0,0.00197291,0.00223915
32,128,1,0,8,0,0.00197973,0.0023552
32,128,1,0,16,0,0.00202069,0.0026624
32,128,1,0,16,1,0.00202069,0.0026624
32,128,1,0,8,1,0.00198656,0.0023552
32,128,1,0,4,1,0.00199339,0.00223915
32,128,1,0,2,1,0.00197973,0.00223232
32,128,1,0,1,1,0.00199339,0.00222549
32,128,1,0,1,2,0.00198656,0.00221867
32,128,1,0,2,2,0.0019456,0.00223232
32,128,1,0,4,2,0.00199339,0.00224533
32,128,1,0,8,2,0.00197973,0.0023552
32,128,1,0,16,2,0.00201387,0.0026624
32,128,1,1,1,0,0.00197291,0.0054272
32,128,1,1,2,0,0.002,0.00536576
32,128,1,1,4,0,0.00195264,0.00535893
32,128,1,1,8,0,0.00195925,0.00567296
32,128,1,1,16,0,0.00202069,0.00632149
32,128,1,1,16,1,0.00202069,0.00633515
32,128,1,1,8,1,0.00197291,0.00572757
32,128,1,1,4,1,0.00197291,0.00547499
32,128,1,1,2,1,0.00199957,0.00533845
32,128,1,1,1,1,0.00195925,0.00538624
32,128,1,1,1,2,0.00195243,0.00538624
32,128,1,1,2,2,0.00199296,0.00537259
32,128,1,1,4,2,0.00197973,0.00536576
32,128,1,1,8,2,0.00191829,0.00566613
32,128,1,1,16,2,0.00201387,0.00632149
32,128,2,0,1,0,0.00197973,0.00223232
32,128,2,0,2,0,0.00197973,0.00223915
32,128,2,0,4,0,0.00193856,0.00223915
32,128,2,0,8,0,0.00197312,0.00236885
32,128,2,0,16,0,0.00202069,0.0026624
32,128,2,0,16,1,0.00201387,0.00266923
32,128,2,0,8,1,0.00198613,0.00236885
32,128,2,0,4,1,0.00199339,0.0022528
32,128,2,0,2,1,0.00197973,0.00224597
32,128,2,0,1,1,0.00200021,0.00223915
32,128,2,0,1,2,0.00199339,0.00223915
32,128,2,0,2,2,0.00200021,0.00223232
32,128,2,0,4,2,0.00198656,0.00224597
32,128,2,0,8,2,0.00198656,0.00236885
32,128,2,0,16,2,0.00202069,0.0026624
32,128,2,1,1,0,0.00197291,0.00533845
32,128,2,1,2,0,0.00196608,0.00535893
32,128,2,1,4,0,0.00196608,0.00539307
32,128,2,1,8,0,0.00197291,0.00570709
32,128,2,1,16,0,0.00202688,0.0063488
32,128,2,1,16,1,0.00202069,0.0063488
32,128,2,1,8,1,0.00199339,0.00567979
32,128,2,1,4,1,0.00195925,0.00538624
32,128,2,1,2,1,0.00193877,0.00535211
32,128,2,1,1,1,0.00197291,0.00544085
32,128,2,1,1,2,0.00199979,0.00539925
32,128,2,1,2,2,0.00198037,0.00537941
32,128,2,1,4,2,0.00196608,0.0054272
32,128,2,1,8,2,0.00205483,0.0056864
32,128,2,1,16,2,0.00201323,0.00634197
32,256,1,0,1,0,0.00199339,0.00224597
32,256,1,0,2,0,0.00198635,0.00223915
32,256,1,0,4,0,0.00197973,0.00228011
32,256,1,0,8,0,0.00197291,0.00241664
32,256,1,0,16,0,0.00202752,0.00268288
32,256,1,0,16,1,0.00203435,0.00268971
32,256,1,0,8,1,0.00196608,0.00240981
32,256,1,0,4,1,0.00200021,0.00228693
32,256,1,0,2,1,0.00197973,0.00223915
32,256,1,0,1,1,0.00200021,0.00224597
32,256,1,0,1,2,0.00199339,0.00224576
32,256,1,0,2,2,0.00199339,0.00224597
32,256,1,0,4,2,0.00199339,0.00228011
32,256,1,0,8,2,0.00197973,0.00240981
32,256,1,0,16,2,0.00201387,0.00267605
32,256,1,1,1,0,0.00197973,0.00542741
32,256,1,1,2,0,0.00199339,0.00537941
32,256,1,1,4,0,0.00195925,0.00539307
32,256,1,1,8,0,0.00196608,0.00567979
32,256,1,1,16,0,0.00202752,0.0063488
32,256,1,1,16,1,0.00203392,0.00633515
32,256,1,1,8,1,0.00196608,0.0056864
32,256,1,1,4,1,0.00196608,0.00544768
32,256,1,1,2,1,0.00200704,0.00537941
32,256,1,1,1,1,0.00198656,0.00537941
32,256,1,1,1,2,0.00191829,0.00540672
32,256,1,1,2,2,0.00199339,0.00534528
32,256,1,1,4,2,0.00197973,0.00540672
32,256,1,1,8,2,0.00197291,0.00567979
32,256,1,1,16,2,0.00202069,0.00633515
32,256,2,0,1,0,0.00193131,0.00227328
32,256,2,0,2,0,0.00193195,0.0022528
32,256,2,0,4,0,0.00200021,0.00229376
32,256,2,0,8,0,0.00192512,0.00240981
32,256,2,0,16,0,0.00202752,0.00271019
32,256,2,0,16,1,0.00203435,0.00271019
32,256,2,0,8,1,0.00198677,0.0024032
32,256,2,0,4,1,0.00197291,0.00230059
32,256,2,0,2,1,0.00199339,0.0022528
32,256,2,0,1,1,0.00200704,0.00227328
32,256,2,0,1,2,0.00197973,0.00226645
32,256,2,0,2,2,0.00199339,0.00224597
32,256,2,0,4,2,0.00197291,0.00228693
32,256,2,0,8,2,0.00198656,0.00240981
32,256,2,0,16,2,0.00202069,0.00271083
32,256,2,1,1,0,0.00196608,0.00542037
32,256,2,1,2,0,0.00195243,0.00539349
32,256,2,1,4,0,0.00200704,0.00548181
32,256,2,1,8,0,0.00195947,0.00567979
32,256,2,1,16,0,0.00202752,0.00636245
32,256,2,1,16,1,0.00202069,0.00635563
32,256,2,1,8,1,0.00197973,0.00568661
32,256,2,1,4,1,0.00199339,0.0054272
32,256,2,1,2,1,0.00191829,0.00542037
32,256,2,1,1,1,0.00196608,0.0054272
32,256,2,1,1,2,0.00197291,0.00540693
32,256,2,1,2,2,0.00197248,0.00535893
32,256,2,1,4,2,0.00200704,0.00545451
32,256,2,1,8,2,0.00192512,0.00567979
32,256,2,1,16,2,0.00196608,0.00602795
32,512,1,0,1,0,0.00197291,0.00285355
32,512,1,0,2,0,0.00197973,0.00283307
32,512,1,0,4,0,0.00200021,0.00290133
32,512,1,0,8,0,0.00206101,0.0031744
32,512,1,0,16,0,0.00247125,0.00376149
32,512,1,0,16,1,0.00247808,0.00376832
32,512,1,0,8,1,0.00205483,0.00318763
32,512,1,0,4,1,0.00200064,0.00290133
32,512,1,0,2,1,0.00199275,0.00283328
32,512,1,0,1,1,0.00200704,0.00285355
32,512,1,0,1,2,0.00197291,0.00285355
32,512,1,0,2,2,0.00200704,0.00283989
32,512,1,0,4,2,0.00200021,0.00290133
32,512,1,0,8,2,0.00206165,0.00318123
32,512,1,0,16,2,0.00247808,0.00375467
32,512,1,1,1,0,0.00197931,0.00617813
32,512,1,1,2,0,0.00197973,0.00619861
32,512,1,1,4,0,0.00199339,0.00630784
32,512,1,1,8,0,0.00206848,0.00690155
32,512,1,1,16,0,0.00247808,0.00812373
32,512,1,1,16,1,0.00247808,0.00811691
32,512,1,1,8,1,0.00206165,0.00691541
32,512,1,1,4,1,0.00200704,0.00630101
32,512,1,1,2,1,0.00197973,0.00619861
32,512,1,1,1,1,0.00199381,0.00617813
32,512,1,1,1,2,0.00200021,0.00616448
32,512,1,1,2,2,0.00200704,0.00619179
32,512,1,1,4,2,0.00199339,0.00629419
32,512,1,1,8,2,0.00208896,0.00690859
32,512,1,1,16,2,0.00247808,0.00812373
32,512,2,0,1,0,0.00201387,0.00288085
32,512,2,0,2,0,0.00197973,0.00288085
32,512,2,0,4,0,0.00197973,0.00292779
32,512,2,0,8,0,0.00206848,0.00322219
32,512,2,0,16,0,0.00247125,0.00384277
32,512,2,0,16,1,0.00250539,0.00383659
32,512,2,0,8,1,0.00205483,0.00322901
32,512,2,0,4,1,0.00193877,0.00292864
32,512,2,0,2,1,0.00198656,0.00288064
32,512,2,0,1,1,0.00198656,0.00287403
32,512,2,0,1,2,0.00202069,0.00288085
32,512,2,0,2,2,0.00200021,0.00287403
32,512,2,0,4,2,0.00192512,0.00292864
32,512,2,0,8,2,0.00206827,0.00322219
32,512,2,0,16,2,0.00248427,0.00384341
32,512,2,1,1,0,0.00197973,0.00627307
32,512,2,1,2,0,0.00196608,0.00626005
32,512,2,1,4,0,0.00200021,0.00636181
32,512,2,1,8,0,0.00206101,0.00701099
32,512,2,1,16,0,0.00247808,0.00823979
32,512,2,1,16,1,0.00246443,0.00825344
32,512,2,1,8,1,0.00206165,0.00696939
32,512,2,1,4,1,0.00193195,0.00636971
32,512,2,1,2,1,0.00196523,0.00625323
32,512,2,1,1,1,0.00193877,0.00625323
32,512,2,1,1,2,0.00192512,0.00627307
32,512,2,1,2,2,0.00199339,0.00626005
32,512,2,1,4,2,0.00197291,0.0063488
32,512,2,1,8,2,0.00206848,0.00697003
32,512,2,1,16,2,0.00246443,0.00824661
32,1024,1,0,1,0,0.00231424,0.00447829
32,1024,1,0,2,0,0.00230741,0.00446464
32,1024,1,0,4,0,0.00234837,0.00449195
32,1024,1,0,8,0,0.00286037,0.00496363
32,1024,1,0,16,0,0.00378197,0.00610987
32,1024,1,0,16,1,0.00377515,0.00610944
32,1024,1,0,8,1,0.0028608,0.00497664
32,1024,1,0,4,1,0.00236203,0.00449195
32,1024,1,0,2,1,0.00230741,0.00447147
32,1024,1,0,1,1,0.00230741,0.00448512
32,1024,1,0,1,2,0.00230059,0.00447829
32,1024,1,0,2,2,0.00230741,0.00447829
32,1024,1,0,4,2,0.0023552,0.00448512
32,1024,1,0,8,2,0.00285419,0.00497664
32,1024,1,0,16,2,0.00378197,0.00611669
32,1024,1,1,1,0,0.00230741,0.00924309
32,1024,1,1,2,0,0.00230059,0.00922965
32,1024,1,1,4,0,0.00236181,0.00924331
32,1024,1,1,8,0,0.00286037,0.0103765
32,1024,1,1,16,0,0.00377515,0.0124314
32,1024,1,1,16,1,0.00378816,0.0124109
32,1024,1,1,8,1,0.00284672,0.0103287
32,1024,1,1,4,1,0.0023552,0.00925013
32,1024,1,1,2,1,0.00230059,0.00922965
32,1024,1,1,1,1,0.00231403,0.00925696
