count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
33554432,0,4,128,256,2,0.229037
33554432,0,8,128,256,2,0.15609
33554432,0,4,128,512,2,0.14711
33554432,0,8,128,512,2,0.12489
33554432,0,4,128,1024,2,0.106995
33554432,0,8,128,1024,2,0.126291
33554432,0,4,256,128,2,0.238765
33554432,0,8,256,128,2,0.159251
33554432,0,4,256,256,2,0.150202
33554432,0,8,256,256,2,0.12976
33554432,0,4,256,512,2,0.107206
33554432,0,8,256,512,2,0.125306
33554432,0,4,256,1024,2,0.117741
33554432,0,8,256,1024,2,0.125338
33554432,0,4,512,128,2,0.154477
33554432,0,8,512,128,2,0.151226
33554432,0,4,512,256,2,0.108781
33554432,0,8,512,256,2,0.132915
33554432,0,4,512,512,2,0.118221
33554432,0,8,512,512,2,0.123091
33554432,0,4,512,1024,2,0.107008
33554432,0,8,512,1024,2,0.121805
33554432,1,1,256,256,0,0.240909
33554432,1,4,128,128,0,0.349619
33554432,1,8,128,128,0,0.201658
33554432,1,4,128,256,0,0.198918
33554432,1,8,128,256,0,0.124845
33554432,1,4,128,512,0,0.123142
33554432,1,8,128,512,0,0.0840768
33554432,1,4,128,1024,0,0.0838464
33554432,1,8,128,1024,0,0.065344
33554432,1,4,256,128,0,0.197043
33554432,1,8,256,128,0,0.124173
33554432,1,4,256,256,0,0.121408
33554432,1,8,256,256,0,0.08432
33554432,1,4,256,512,0,0.0835264
33554432,1,8,256,512,0,0.0654976
33554432,1,4,256,1024,0,0.0811392
33554432,1,8,256,1024,0,0.0696832
33554432,1,4,512,128,0,0.125274
33554432,1,8,512,128,0,0.0868544
33554432,1,4,512,256,0,0.0848768
33554432,1,8,512,256,0,0.06608
33554432,1,4,512,512,0,0.0820672
33554432,1,8,512,512,0,0.070016
33554432,1,4,512,1024,0,0.0742656
33554432,1,8,512,1024,0,0.0657728
33554432,1,1,256,256,1,0.238419
33554432,1,4,128,1024,1,0.0847424
33554432,1,8,128,1024,1,0.0654912
33554432,1,4,128,512,1,0.121632
33554432,1,8,128,512,1,0.0834432
33554432,1,4,128,256,1,0.198061
33554432,1,8,128,256,1,0.124454
33554432,1,4,128,128,1,0.349478
33554432,1,8,128,128,1,0.201581
33554432,1,4,256,1024,1,0.0820416
33554432,1,8,256,1024,1,0.0697216
33554432,1,4,256,512,1,0.0837696
33554432,1,8,256,512,1,0.0653568
33554432,1,4,256,256,1,0.120486
33554432,1,8,256,256,1,0.083136
33554432,1,4,256,128,1,0.196717
33554432,1,8,256,128,1,0.12423
33554432,1,4,512,1024,1,0.075008
33554432,1,8,512,1024,1,0.0657664
33554432,1,4,512,512,1,0.0819776
33554432,1,8,512,512,1,0.0701056
33554432,1,4,512,256,1,0.0850112
33554432,1,8,512,256,1,0.0662528
33554432,1,4,512,128,1,0.125088
33554432,1,8,512,128,1,0.0869888
33554432,1,1,256,256,2,0.23895
33554432,1,4,128,128,2,0.349274
33554432,1,8,128,128,2,0.202022
33554432,1,4,128,256,2,0.199123
33554432,1,8,128,256,2,0.124717
33554432,1,4,128,512,2,0.122854
33554432,1,8,128,512,2,0.0842944
33554432,1,4,128,1024,2,0.0841216
33554432,1,8,128,1024,2,0.0652608
33554432,1,4,256,128,2,0.196749
33554432,1,8,256,128,2,0.124506
33554432,1,4,256,256,2,0.121229
33554432,1,8,256,256,2,0.0839104
33554432,1,4,256,512,2,0.0836288
33554432,1,8,256,512,2,0.065536
33554432,1,4,256,1024,2,0.0812352
33554432,1,8,256,1024,2,0.0695936
33554432,1,4,512,128,2,0.125197
33554432,1,8,512,128,2,0.0869184
33554432,1,4,512,256,2,0.0850368
33554432,1,8,512,256,2,0.06624
33554432,1,4,512,512,2,0.08208
33554432,1,8,512,512,2,0.0701504
33554432,1,4,512,1024,2,0.0744192
33554432,1,8,512,1024,2,0.0654784
