rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,1024,1,1,8,32,2,0.066443,1.95929
32,1024,1,1,16,32,2,0.0669411,2.03733
32,1024,2,0,1,32,0,0.0704162,0.157479
32,1024,2,0,2,32,0,0.0716172,0.16047
32,1024,2,0,4,32,0,0.0730101,0.163941
32,1024,2,0,8,32,0,0.0730842,0.164065
32,1024,2,0,16,32,0,0.0736606,0.164607
32,1024,2,0,16,32,1,0.0736588,0.164617
32,1024,2,0,8,32,1,0.0729847,0.164058
32,1024,2,0,4,32,1,0.0730095,0.163936
32,1024,2,0,2,32,1,0.0716221,0.160498
32,1024,2,0,1,32,1,0.0704149,0.157489
32,1024,2,0,1,32,2,0.0703064,0.157476
32,1024,2,0,2,32,2,0.07162,0.160478
32,1024,2,0,4,32,2,0.0728983,0.163934
32,1024,2,0,8,32,2,0.0730749,0.164056
32,1024,2,0,16,32,2,0.0736558,0.164612
32,1024,2,1,1,32,0,0.0702167,1.84955
32,1024,2,1,2,32,0,0.0714303,1.8782
32,1024,2,1,4,32,0,0.0727316,1.95599
32,1024,2,1,8,32,0,0.072864,1.96711
32,1024,2,1,16,32,0,0.0737016,2.04549
32,1024,2,1,16,32,1,0.0736997,2.04569
32,1024,2,1,8,32,1,0.0729734,1.96707
32,1024,2,1,4,32,1,0.0727224,1.95603
32,1024,2,1,2,32,1,0.0715454,1.87828
32,1024,2,1,1,32,1,0.0703167,1.84952
32,1024,2,1,1,32,2,0.070327,1.8497
32,1024,2,1,2,32,2,0.0715397,1.87845
32,1024,2,1,4,32,2,0.072733,1.95617
32,1024,2,1,8,32,2,0.072964,1.96718
32,1024,2,1,16,32,2,0.0737026,2.0455
8192,64,1,0,1,32,0,0.0257493,0.053171
8192,64,1,0,2,32,0,0.0175284,0.0356168
8192,64,1,0,4,32,0,0.0138411,0.0273541
8192,64,1,0,8,32,0,0.0138121,0.0274278
8192,64,1,0,16,32,0,0.0135468,0.0242243
8192,64,1,0,16,32,1,0.0135522,0.0242281
8192,64,1,0,8,32,1,0.0139479,0.027445
8192,64,1,0,4,32,1,0.0139735,0.0273243
8192,64,1,0,2,32,1,0.0174795,0.0356128
8192,64,1,0,1,32,1,0.0257623,0.0531701
8192,64,1,0,1,32,2,0.0257544,0.0531572
8192,64,1,0,2,32,2,0.0173961,0.0357137
8192,64,1,0,4,32,2,0.0138438,0.0273504
8192,64,1,0,8,32,2,0.0140136,0.0273525
8192,64,1,0,16,32,2,0.0135432,0.0242296
8192,64,1,1,1,32,0,0.0258176,1.75844
8192,64,1,1,2,32,0,0.0174693,1.02099
8192,64,1,1,4,32,0,0.0140262,0.772906
8192,64,1,1,8,32,0,0.0138639,0.769384
8192,64,1,1,16,32,0,0.0133839,0.761135
8192,64,1,1,16,32,1,0.0133961,0.760907
8192,64,1,1,8,32,1,0.0138542,0.769761
8192,64,1,1,4,32,1,0.0139803,0.773278
8192,64,1,1,2,32,1,0.0174856,1.02108
8192,64,1,1,1,32,1,0.0258219,1.75817
8192,64,1,1,1,32,2,0.0258107,1.75788
8192,64,1,1,2,32,2,0.0174747,1.02147
8192,64,1,1,4,32,2,0.0139031,0.773077
8192,64,1,1,8,32,2,0.0138744,0.770223
8192,64,1,1,16,32,2,0.0134045,0.761465
8192,64,2,0,1,32,0,0.0296151,0.0552791
8192,64,2,0,2,32,0,0.020355,0.0369917
8192,64,2,0,4,32,0,0.0161225,0.0283884
8192,64,2,0,8,32,0,0.0161009,0.0285566
8192,64,2,0,16,32,0,0.0154516,0.0251861
8192,64,2,0,16,32,1,0.0154429,0.0251883
8192,64,2,0,8,32,1,0.0160634,0.028434
8192,64,2,0,4,32,1,0.0161141,0.0282808
8192,64,2,0,2,32,1,0.0204443,0.0369739
8192,64,2,0,1,32,1,0.0296247,0.0552715
8192,64,2,0,1,32,2,0.029625,0.0551835
8192,64,2,0,2,32,2,0.0203483,0.036972
8192,64,2,0,4,32,2,0.0161096,0.0284005
8192,64,2,0,8,32,2,0.0160542,0.0285358
8192,64,2,0,16,32,2,0.0154508,0.0251898
8192,64,2,1,1,32,0,0.0296619,1.77421
8192,64,2,1,2,32,0,0.0202955,1.03252
8192,64,2,1,4,32,0,0.0161832,0.782071
8192,64,2,1,8,32,0,0.0161144,0.77956
8192,64,2,1,16,32,0,0.0154025,0.769628
8192,64,2,1,16,32,1,0.0154232,0.770002
8192,64,2,1,8,32,1,0.016083,0.778322
8192,64,2,1,4,32,1,0.0161937,0.782391
8192,64,2,1,2,32,1,0.0202984,1.03189
8192,64,2,1,1,32,1,0.029685,1.77418
8192,64,2,1,1,32,2,0.0296768,1.77434
8192,64,2,1,2,32,2,0.0202889,1.03202
8192,64,2,1,4,32,2,0.0162092,0.782099
8192,64,2,1,8,32,2,0.0161111,0.778489
8192,64,2,1,16,32,2,0.0155202,0.769601
8192,128,1,0,1,32,0,0.0411904,0.101176
8192,128,1,0,2,32,0,0.0282641,0.0660762
8192,128,1,0,4,32,0,0.0221603,0.0503345
8192,128,1,0,8,32,0,0.0224706,0.050148
8192,128,1,0,16,32,0,0.0200232,0.04262
8192,128,1,0,16,32,1,0.0200475,0.0426334
8192,128,1,0,8,32,1,0.0223602,0.0501606
8192,128,1,0,4,32,1,0.022141,0.0503116
8192,128,1,0,2,32,1,0.0282821,0.0660637
8192,128,1,0,1,32,1,0.0411832,0.101143
8192,128,1,0,1,32,2,0.0411933,0.101026
8192,128,1,0,2,32,2,0.0282679,0.0660846
8192,128,1,0,4,32,2,0.0221544,0.0503205
8192,128,1,0,8,32,2,0.0223753,0.0501618
8192,128,1,0,16,32,2,0.0200323,0.0426109
8192,128,1,1,1,32,0,0.0410987,3.14079
8192,128,1,1,2,32,0,0.0283202,1.80388
8192,128,1,1,4,32,0,0.0222181,1.29511
8192,128,1,1,8,32,0,0.022301,1.31274
8192,128,1,1,16,32,0,0.0200878,1.27106
8192,128,1,1,16,32,1,0.0201928,1.27059
8192,128,1,1,8,32,1,0.022327,1.31146
8192,128,1,1,4,32,1,0.022096,1.29531
8192,128,1,1,2,32,1,0.0283278,1.80376
8192,128,1,1,1,32,1,0.0411014,3.13942
8192,128,1,1,1,32,2,0.0411043,3.14047
8192,128,1,1,2,32,2,0.0283394,1.80419
8192,128,1,1,4,32,2,0.0220887,1.29554
8192,128,1,1,8,32,2,0.0223205,1.31201
8192,128,1,1,16,32,2,0.0200774,1.27004
8192,128,2,0,1,32,0,0.049225,0.10531
8192,128,2,0,2,32,0,0.0332066,0.0695835
8192,128,2,0,4,32,0,0.0262385,0.0528229
8192,128,2,0,8,32,0,0.0264302,0.053125
8192,128,2,0,16,32,0,0.0235674,0.0454191
8192,128,2,0,16,32,1,0.0235817,0.0454138
8192,128,2,0,8,32,1,0.0264466,0.0531192
8192,128,2,0,4,32,1,0.0262589,0.0528317
8192,128,2,0,2,32,1,0.0332227,0.0696794
8192,128,2,0,1,32,1,0.0491349,0.105283
8192,128,2,0,1,32,2,0.0491235,0.105296
8192,128,2,0,2,32,2,0.0332094,0.0696753
8192,128,2,0,4,32,2,0.0262673,0.0528218
8192,128,2,0,8,32,2,0.0264395,0.0531125
8192,128,2,0,16,32,2,0.0235706,0.0454331
8192,128,2,1,1,32,0,0.0491093,3.17451
8192,128,2,1,2,32,0,0.0332654,1.82801
8192,128,2,1,4,32,0,0.0261725,1.31542
8192,128,2,1,8,32,0,0.0264148,1.33007
8192,128,2,1,16,32,0,0.0235714,1.28759
8192,128,2,1,16,32,1,0.0235715,1.28744
8192,128,2,1,8,32,1,0.0264378,1.32982
8192,128,2,1,4,32,1,0.0261912,1.31608
8192,128,2,1,2,32,1,0.0332855,1.82819
8192,128,2,1,1,32,1,0.0491118,3.17454
8192,128,2,1,1,32,2,0.0491148,3.17465
8192,128,2,1,2,32,2,0.0332841,1.82915
8192,128,2,1,4,32,2,0.0261623,1.31562
8192,128,2,1,8,32,2,0.0264299,1.32979
8192,128,2,1,16,32,2,0.0235744,1.28786
8192,256,1,0,1,32,0,0.0795953,0.192379
8192,256,1,0,2,32,0,0.0525257,0.123758
8192,256,1,0,4,32,0,0.0401653,0.0935243
8192,256,1,0,8,32,0,0.0395476,0.0941809
8192,256,1,0,16,32,0,0.0342043,0.0791901
8192,256,1,0,16,32,1,0.0340835,0.0791928
8192,256,1,0,8,32,1,0.0393992,0.0941887
8192,256,1,0,4,32,1,0.0400251,0.0935188
8192,256,1,0,2,32,1,0.0525438,0.123764
8192,256,1,0,1,32,1,0.0795019,0.192361
8192,256,1,0,1,32,2,0.0795221,0.19225
8192,256,1,0,2,32,2,0.0525368,0.123728
8192,256,1,0,4,32,2,0.0400712,0.0934982
8192,256,1,0,8,32,2,0.0394345,0.0941362
8192,256,1,0,16,32,2,0.034196,0.0792061
8192,256,1,1,1,32,0,0.079591,6.0214
8192,256,1,1,2,32,0,0.0523174,3.41029
8192,256,1,1,4,32,0,0.0400053,2.35709
8192,256,1,1,8,32,0,0.0395604,2.44297
8192,256,1,1,16,32,0,0.0339416,2.34391
8192,256,1,1,16,32,1,0.0341003,2.34393
8192,256,1,1,8,32,1,0.0394034,2.44372
8192,256,1,1,4,32,1,0.0400651,2.35739
8192,256,1,1,2,32,1,0.0523357,3.41202
8192,256,1,1,1,32,1,0.0794882,6.02087
8192,256,1,1,1,32,2,0.0794654,6.02463
8192,256,1,1,2,32,2,0.0523275,3.41152
8192,256,1,1,4,32,2,0.0400652,2.35891
8192,256,1,1,8,32,2,0.0395611,2.44367
8192,256,1,1,16,32,2,0.0339485,2.34483
8192,256,2,0,1,32,0,0.0986737,0.201907
8192,256,2,0,2,32,0,0.0658685,0.130441
8192,256,2,0,4,32,0,0.049813,0.0993391
8192,256,2,0,8,32,0,0.04936,0.0998252
8192,256,2,0,16,32,0,0.043022,0.0846498
8192,256,2,0,16,32,1,0.0430075,0.0845349
8192,256,2,0,8,32,1,0.049287,0.0998964
8192,256,2,0,4,32,1,0.0497749,0.099362
8192,256,2,0,2,32,1,0.0658601,0.130464
8192,256,2,0,1,32,1,0.098576,0.201885
8192,256,2,0,1,32,2,0.0985656,0.201929
8192,256,2,0,2,32,2,0.0658639,0.130532
8192,256,2,0,4,32,2,0.0498117,0.0993405
8192,256,2,0,8,32,2,0.0493391,0.0999166
8192,256,2,0,16,32,2,0.0430216,0.0846533
8192,256,2,1,1,32,0,0.0981501,6.08026
8192,256,2,1,2,32,0,0.065077,3.45607
8192,256,2,1,4,32,0,0.0494107,2.3906
8192,256,2,1,8,32,0,0.0497099,2.47713
8192,256,2,1,16,32,0,0.043404,2.38009
8192,256,2,1,16,32,1,0.0433816,2.38016
8192,256,2,1,8,32,1,0.049716,2.47692
8192,256,2,1,4,32,1,0.0494421,2.38974
8192,256,2,1,2,32,1,0.0651048,3.45614
8192,256,2,1,1,32,1,0.0980539,6.08255
8192,256,2,1,1,32,2,0.0981758,6.08258
8192,256,2,1,2,32,2,0.0652067,3.45507
8192,256,2,1,4,32,2,0.0494781,2.38848
8192,256,2,1,8,32,2,0.0497315,2.4762
8192,256,2,1,16,32,2,0.0433832,2.38046
8192,512,1,0,1,32,0,0.162735,0.385092
8192,512,1,0,2,32,0,0.10651,0.253605
8192,512,1,0,4,32,0,0.0812119,0.194856
8192,512,1,0,8,32,0,0.0815636,0.194364
8192,512,1,0,16,32,0,0.0714622,0.161498
8192,512,1,0,16,32,1,0.0713458,0.161406
8192,512,1,0,8,32,1,0.0814993,0.19452
8192,512,1,0,4,32,1,0.0813012,0.19478
8192,512,1,0,2,32,1,0.106484,0.253621
8192,512,1,0,1,32,1,0.162419,0.38497
8192,512,1,0,1,32,2,0.162578,0.384929
8192,512,1,0,2,32,2,0.106477,0.253523
8192,512,1,0,4,32,2,0.081198,0.194759
8192,512,1,0,8,32,2,0.0815447,0.194262
8192,512,1,0,16,32,2,0.0713611,0.161371
8192,512,1,1,1,32,0,0.162563,12.2565
8192,512,1,1,2,32,0,0.106455,6.9949
8192,512,1,1,4,32,0,0.0814699,5.16726
8192,512,1,1,8,32,0,0.0815549,5.10353
8192,512,1,1,16,32,0,0.0712032,5.13079
8192,512,1,1,16,32,1,0.0712027,5.13032
8192,512,1,1,8,32,1,0.081586,5.10059
8192,512,1,1,4,32,1,0.0813271,5.16824
8192,512,1,1,2,32,1,0.106372,6.98956
8192,512,1,1,1,32,1,0.162434,12.2587
8192,512,1,1,1,32,2,0.162569,12.2542
8192,512,1,1,2,32,2,0.106377,6.99029
8192,512,1,1,4,32,2,0.0814138,5.16817
8192,512,1,1,8,32,2,0.0815352,5.10293
