rows,dim,dtype,format,warps,trial,had_ms,fused_ms
8192,128,1,0,1,2,0.0346845,0.104461
8192,128,1,0,2,2,0.0340119,0.103236
8192,128,1,0,4,2,0.0336908,0.103707
8192,128,1,1,1,0,0.0348564,0.564096
8192,128,1,1,2,0,0.0339659,0.547375
8192,128,1,1,4,0,0.0336376,0.579581
8192,128,1,1,4,1,0.0336552,0.579643
8192,128,1,1,2,1,0.0339656,0.547354
8192,128,1,1,1,1,0.034759,0.559605
8192,128,1,1,1,2,0.0347668,0.563306
8192,128,1,1,2,2,0.0339639,0.546686
8192,128,1,1,4,2,0.033639,0.579809
8192,128,2,0,1,0,0.0468527,0.108458
8192,128,2,0,2,0,0.0455531,0.107816
8192,128,2,0,4,0,0.0444465,0.108561
8192,128,2,0,4,1,0.0445099,0.108508
8192,128,2,0,2,1,0.0455581,0.107794
8192,128,2,0,1,1,0.0468171,0.108453
8192,128,2,0,1,2,0.046839,0.108381
8192,128,2,0,2,2,0.0455642,0.107841
8192,128,2,0,4,2,0.0445039,0.108543
8192,128,2,1,1,0,0.0468405,0.60354
8192,128,2,1,2,0,0.0454725,0.593599
8192,128,2,1,4,0,0.0445129,0.618806
8192,128,2,1,4,1,0.0445167,0.617038
8192,128,2,1,2,1,0.0455258,0.593699
8192,128,2,1,1,1,0.0468414,0.598232
8192,128,2,1,1,2,0.0468352,0.593661
8192,128,2,1,2,2,0.0454923,0.585162
8192,128,2,1,4,2,0.0446299,0.609064
8192,256,1,0,1,0,0.0578325,0.173887
8192,256,1,0,2,0,0.056787,0.170031
8192,256,1,0,4,0,0.0566626,0.172347
8192,256,1,0,4,1,0.0567813,0.172355
8192,256,1,0,2,1,0.0566528,0.170113
8192,256,1,0,1,1,0.0577099,0.173871
8192,256,1,0,1,2,0.0578298,0.173887
8192,256,1,0,2,2,0.0566517,0.169965
8192,256,1,0,4,2,0.0567416,0.172318
8192,256,1,1,1,0,0.0579313,0.971803
8192,256,1,1,2,0,0.0567023,0.928635
8192,256,1,1,4,0,0.0567589,1.00733
8192,256,1,1,4,1,0.05677,1.00756
8192,256,1,1,2,1,0.056604,0.928703
8192,256,1,1,1,1,0.0578075,0.967129
8192,256,1,1,1,2,0.057781,0.966624
8192,256,1,1,2,2,0.0567493,0.928822
8192,256,1,1,4,2,0.0566362,1.00776
8192,256,2,0,1,0,0.0821655,0.181362
8192,256,2,0,2,0,0.078908,0.17665
8192,256,2,0,4,0,0.0778357,0.178944
8192,256,2,0,4,1,0.0777221,0.178958
8192,256,2,0,2,1,0.0787884,0.176702
8192,256,2,0,1,1,0.082057,0.18139
8192,256,2,0,1,2,0.0820488,0.181377
8192,256,2,0,2,2,0.0789233,0.176804
8192,256,2,0,4,2,0.0777254,0.178946
8192,256,2,1,1,0,0.0824186,1.05569
8192,256,2,1,2,0,0.0791008,1.00386
8192,256,2,1,4,0,0.0782732,1.07891
8192,256,2,1,4,1,0.07816,1.07297
8192,256,2,1,2,1,0.0792425,0.995295
8192,256,2,1,1,1,0.0823982,1.04419
8192,256,2,1,1,2,0.082398,1.04527
8192,256,2,1,2,2,0.0790845,0.997166
8192,256,2,1,4,2,0.0782347,1.07879
8192,512,1,0,1,0,0.100731,0.335237
8192,512,1,0,2,0,0.101587,0.326448
8192,512,1,0,4,0,0.0994824,0.330495
8192,512,1,0,4,1,0.0993736,0.330522
8192,512,1,0,2,1,0.101496,0.326531
8192,512,1,0,1,1,0.100418,0.33515
8192,512,1,0,1,2,0.100514,0.335169
8192,512,1,0,2,2,0.101474,0.326496
8192,512,1,0,4,2,0.099603,0.330484
8192,512,1,1,1,0,0.100651,1.79416
8192,512,1,1,2,0,0.101592,1.84978
8192,512,1,1,4,0,0.0997344,1.97335
8192,512,1,1,4,1,0.0997102,1.97511
8192,512,1,1,2,1,0.101534,1.84567
8192,512,1,1,1,1,0.100572,1.78979
8192,512,1,1,1,2,0.100436,1.79121
8192,512,1,1,2,2,0.101647,1.84599
8192,512,1,1,4,2,0.0996128,1.96599
8192,512,2,0,1,0,0.141234,0.347556
8192,512,2,0,2,0,0.142884,0.343141
8192,512,2,0,4,0,0.142358,0.33946
8192,512,2,0,4,1,0.142326,0.339335
8192,512,2,0,2,1,0.143077,0.343074
8192,512,2,0,1,1,0.141162,0.347488
8192,512,2,0,1,2,0.141353,0.347479
8192,512,2,0,2,2,0.143022,0.343194
8192,512,2,0,4,2,0.142301,0.339424
8192,512,2,1,1,0,0.141506,1.95468
8192,512,2,1,2,0,0.143041,2.02117
8192,512,2,1,4,0,0.142347,2.0442
8192,512,2,1,4,1,0.142322,2.04433
8192,512,2,1,2,1,0.143059,2.02139
8192,512,2,1,1,1,0.141431,1.95306
8192,512,2,1,1,2,0.141272,1.95326
8192,512,2,1,2,2,0.143045,2.02212
8192,512,2,1,4,2,0.142303,2.04389
8192,1024,1,0,1,0,0.216397,0.910444
8192,1024,1,0,2,0,0.215101,0.998307
8192,1024,1,0,4,0,0.246544,0.983014
8192,1024,1,0,4,1,0.246553,0.982439
8192,1024,1,0,2,1,0.215027,1.00125
8192,1024,1,0,1,1,0.216125,0.910579
8192,1024,1,0,1,2,0.216198,0.910342
8192,1024,1,0,2,2,0.215225,1.00247
8192,1024,1,0,4,2,0.246089,0.981151
8192,1024,1,1,1,0,0.21711,3.75005
8192,1024,1,1,2,0,0.215059,4.01528
8192,1024,1,1,4,0,0.246757,3.79009
8192,1024,1,1,4,1,0.247479,3.79165
8192,1024,1,1,2,1,0.215105,4.01435
8192,1024,1,1,1,1,0.216808,3.75093
8192,1024,1,1,1,2,0.216845,3.74974
8192,1024,1,1,2,2,0.215054,4.01187
8192,1024,1,1,4,2,0.24645,3.78525
8192,1024,2,0,1,0,0.278817,0.930805
8192,1024,2,0,2,0,0.275789,1.00429
8192,1024,2,0,4,0,0.303387,1.03193
8192,1024,2,0,4,1,0.302994,1.03326
8192,1024,2,0,2,1,0.275906,1.0031
8192,1024,2,0,1,1,0.278789,0.930406
8192,1024,2,0,1,2,0.278751,0.930632
8192,1024,2,0,2,2,0.275858,1.0032
8192,1024,2,0,4,2,0.302846,1.03093
8192,1024,2,1,1,0,0.278639,3.96533
8192,1024,2,1,2,0,0.276165,3.99472
8192,1024,2,1,4,0,0.302448,4.32869
8192,1024,2,1,4,1,0.303805,4.33802
8192,1024,2,1,2,1,0.275986,4.00056
8192,1024,2,1,1,1,0.278384,3.97117
8192,1024,2,1,1,2,0.278471,3.97066
8192,1024,2,1,2,2,0.27604,3.99579
8192,1024,2,1,4,2,0.301593,4.32106
65536,1024,1,0,1,0,1.42253,6.67559
65536,1024,1,0,2,0,1.39385,7.13153
65536,1024,1,0,4,0,1.6166,6.94565
65536,1024,1,0,4,1,1.61665,6.94163
65536,1024,1,0,2,1,1.3931,7.13485
65536,1024,1,0,1,1,1.42295,6.67361
65536,1024,1,0,1,2,1.42208,6.67806
65536,1024,1,0,2,2,1.39452,7.13375
65536,1024,1,0,4,2,1.6166,6.94615
65536,1024,1,1,1,0,1.424,28.0689
65536,1024,1,1,2,0,1.3937,30.3954
65536,1024,1,1,4,0,1.61722,29.2722
65536,1024,1,1,4,1,1.61654,29.2687
65536,1024,1,1,2,1,1.39245,30.4049
65536,1024,1,1,1,1,1.42352,28.0721
65536,1024,1,1,1,2,1.42414,28.0748
65536,1024,1,1,2,2,1.39338,30.4053
65536,1024,1,1,4,2,1.61718,29.2773
65536,1024,2,0,1,0,1.81949,6.87026
65536,1024,2,0,2,0,1.80506,7.23982
65536,1024,2,0,4,0,2.03831,7.16536
65536,1024,2,0,4,1,2.03852,7.15752
65536,1024,2,0,2,1,1.80324,7.24015
