rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
8192,512,1,1,1,32,0,0.162567,2.63798
8192,512,1,1,2,32,0,0.106553,1.54657
8192,512,1,1,4,32,0,0.0812064,0.993596
8192,512,1,1,4,32,1,0.0811842,0.993947
8192,512,1,1,2,32,1,0.106398,1.54608
8192,512,1,1,1,32,1,0.162457,2.64541
8192,512,1,1,1,32,2,0.162552,2.64485
8192,512,1,1,2,32,2,0.106402,1.54604
8192,512,1,1,4,32,2,0.0811838,0.990305
8192,512,2,0,1,32,0,0.191543,0.480562
8192,512,2,0,2,32,0,0.124303,0.328151
8192,512,2,0,4,32,0,0.0937705,0.252788
8192,512,2,0,4,32,1,0.0936241,0.252735
8192,512,2,0,2,32,1,0.124255,0.328069
8192,512,2,0,1,32,1,0.191318,0.480512
8192,512,2,0,1,32,2,0.191494,0.480528
8192,512,2,0,2,32,2,0.124227,0.328081
8192,512,2,0,4,32,2,0.0937119,0.252746
8192,512,2,1,1,32,0,0.191636,2.71281
8192,512,2,1,2,32,0,0.12422,1.625
8192,512,2,1,4,32,0,0.0934907,1.06687
8192,512,2,1,4,32,1,0.0934772,1.06658
8192,512,2,1,2,32,1,0.124173,1.62531
8192,512,2,1,1,32,1,0.191464,2.7127
8192,512,2,1,1,32,2,0.191476,2.71435
8192,512,2,1,2,32,2,0.124166,1.62487
8192,512,2,1,4,32,2,0.0934792,1.06735
8192,1024,1,0,1,32,0,0.418053,1.73662
8192,1024,1,0,2,32,0,0.274003,1.0848
8192,1024,1,0,4,32,0,0.190478,0.760492
8192,1024,1,0,4,32,1,0.190719,0.763293
8192,1024,1,0,2,32,1,0.274056,1.08433
8192,1024,1,0,1,32,1,0.417912,1.73579
8192,1024,1,0,1,32,2,0.41791,1.73701
8192,1024,1,0,2,32,2,0.273963,1.08441
8192,1024,1,0,4,32,2,0.19063,0.761628
8192,1024,1,1,1,32,0,0.418011,6.37789
8192,1024,1,1,2,32,0,0.273349,3.579
8192,1024,1,1,4,32,0,0.190987,2.25107
8192,1024,1,1,4,32,1,0.190775,2.25838
8192,1024,1,1,2,32,1,0.273311,3.57983
8192,1024,1,1,1,32,1,0.41786,6.38036
8192,1024,1,1,1,32,2,0.417822,6.37799
8192,1024,1,1,2,32,2,0.273456,3.57444
8192,1024,1,1,4,32,2,0.190911,2.25136
8192,1024,2,0,1,32,0,0.470093,1.76174
8192,1024,2,0,2,32,0,0.315497,1.09724
8192,1024,2,0,4,32,0,0.215926,0.770451
8192,1024,2,0,4,32,1,0.215895,0.77105
8192,1024,2,0,2,32,1,0.315305,1.09654
8192,1024,2,0,1,32,1,0.469847,1.76061
8192,1024,2,0,1,32,2,0.469815,1.75932
8192,1024,2,0,2,32,2,0.315387,1.09631
8192,1024,2,0,4,32,2,0.215825,0.769828
8192,1024,2,1,1,32,0,0.470087,6.5516
8192,1024,2,1,2,32,0,0.315183,3.7017
8192,1024,2,1,4,32,0,0.216083,2.36891
8192,1024,2,1,4,32,1,0.216229,2.36106
8192,1024,2,1,2,32,1,0.315184,3.70034
8192,1024,2,1,1,32,1,0.470034,6.54981
8192,1024,2,1,1,32,2,0.469872,6.55032
8192,1024,2,1,2,32,2,0.315185,3.70329
8192,1024,2,1,4,32,2,0.216116,2.36979
65536,1024,1,0,1,32,0,2.62452,12.843
65536,1024,1,0,2,32,0,1.49318,7.45542
65536,1024,1,0,4,32,0,0.996088,4.92887
65536,1024,1,0,4,32,1,0.996005,4.93742
65536,1024,1,0,2,32,1,1.49305,7.44479
65536,1024,1,0,1,32,1,2.62506,12.8356
65536,1024,1,0,1,32,2,2.62494,12.8352
65536,1024,1,0,2,32,2,1.4931,7.44828
65536,1024,1,0,4,32,2,0.995968,4.92789
65536,1024,1,1,1,32,0,2.62492,48.87
65536,1024,1,1,2,32,0,1.49233,26.426
65536,1024,1,1,4,32,0,0.996277,16.1646
65536,1024,1,1,4,32,1,0.996306,16.1631
65536,1024,1,1,2,32,1,1.49239,26.4202
65536,1024,1,1,1,32,1,2.62552,48.8723
65536,1024,1,1,1,32,2,2.62525,48.8717
65536,1024,1,1,2,32,2,1.49237,26.4276
65536,1024,1,1,4,32,2,0.996234,16.1599
65536,1024,2,0,1,32,0,2.87583,13.0061
65536,1024,2,0,2,32,0,1.76177,7.5329
65536,1024,2,0,4,32,0,1.15151,4.99699
65536,1024,2,0,4,32,1,1.15156,5.00251
65536,1024,2,0,2,32,1,1.76238,7.53906
65536,1024,2,0,1,32,1,2.87621,13.0082
65536,1024,2,0,1,32,2,2.87282,13.0086
65536,1024,2,0,2,32,2,1.76208,7.53478
65536,1024,2,0,4,32,2,1.15173,5.00578
65536,1024,2,1,1,32,0,2.87939,50.2691
65536,1024,2,1,2,32,0,1.76116,27.3715
65536,1024,2,1,4,32,0,1.15178,16.8556
65536,1024,2,1,4,32,1,1.15204,16.8593
65536,1024,2,1,2,32,1,1.76106,27.3762
65536,1024,2,1,1,32,1,2.87372,50.302
65536,1024,2,1,1,32,2,2.87514,50.2719
65536,1024,2,1,2,32,2,1.76097,27.3665
65536,1024,2,1,4,32,2,1.1518,16.8568
