count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
33554432,0,8,128,1024,0,0.960939
33554432,0,4,256,128,0,1.11101
33554432,0,8,256,128,0,1.08171
33554432,0,4,256,256,0,1.03486
33554432,0,8,256,256,0,0.998649
33554432,0,4,256,512,0,0.984911
33554432,0,8,256,512,0,0.957104
33554432,0,4,256,1024,0,0.955453
33554432,0,8,256,1024,0,0.934858
33554432,0,4,512,128,0,1.03475
33554432,0,8,512,128,0,0.996829
33554432,0,4,512,256,0,0.985437
33554432,0,8,512,256,0,0.959967
33554432,0,4,512,512,0,0.964905
33554432,0,8,512,512,0,0.937083
33554432,0,4,512,1024,0,0.967995
33554432,0,8,512,1024,0,0.925996
33554432,0,1,256,256,1,1.92873
33554432,0,4,128,1024,1,0.988093
33554432,0,8,128,1024,1,0.960744
33554432,0,4,128,512,1,1.03846
33554432,0,8,128,512,1,1.00046
33554432,0,4,128,256,1,1.1698
33554432,0,8,128,256,1,1.09063
33554432,0,4,128,128,1,1.4529
33554432,0,8,128,128,1,1.30506
33554432,0,4,256,1024,1,0.955528
33554432,0,8,256,1024,1,0.935161
33554432,0,4,256,512,1,0.985991
33554432,0,8,256,512,1,0.958563
33554432,0,4,256,256,1,1.03768
33554432,0,8,256,256,1,0.999019
33554432,0,4,256,128,1,1.14462
33554432,0,8,256,128,1,1.0972
33554432,0,4,512,1024,1,0.966783
33554432,0,8,512,1024,1,0.926532
33554432,0,4,512,512,1,0.965931
33554432,0,8,512,512,1,0.937016
33554432,0,4,512,256,1,0.98653
33554432,0,8,512,256,1,0.960438
33554432,0,4,512,128,1,1.03399
33554432,0,8,512,128,1,0.997001
33554432,0,1,256,256,2,1.92931
33554432,0,4,128,128,2,1.41403
33554432,0,8,128,128,2,1.27472
33554432,0,4,128,256,2,1.17485
33554432,0,8,128,256,2,1.09877
33554432,0,4,128,512,2,1.03789
33554432,0,8,128,512,2,1.00187
33554432,0,4,128,1024,2,0.987103
33554432,0,8,128,1024,2,0.961238
33554432,0,4,256,128,2,1.11919
33554432,0,8,256,128,2,1.08744
33554432,0,4,256,256,2,1.03626
33554432,0,8,256,256,2,0.997713
33554432,0,4,256,512,2,0.984672
33554432,0,8,256,512,2,0.957889
33554432,0,4,256,1024,2,0.955945
33554432,0,8,256,1024,2,0.934895
33554432,0,4,512,128,2,1.03406
33554432,0,8,512,128,2,0.998022
33554432,0,4,512,256,2,0.985753
33554432,0,8,512,256,2,0.960045
33554432,0,4,512,512,2,0.966318
33554432,0,8,512,512,2,0.938157
33554432,0,4,512,1024,2,0.967754
33554432,0,8,512,1024,2,0.92595
33554432,1,1,256,256,0,1.93676
33554432,1,4,128,128,0,1.32335
33554432,1,8,128,128,0,1.00189
33554432,1,4,128,256,0,1.04136
33554432,1,8,128,256,0,0.820375
33554432,1,4,128,512,0,0.907051
33554432,1,8,128,512,0,0.707093
33554432,1,4,128,1024,0,0.852235
33554432,1,8,128,1024,0,0.677475
33554432,1,4,256,128,0,0.976782
33554432,1,8,256,128,0,0.681061
33554432,1,4,256,256,0,0.850636
33554432,1,8,256,256,0,0.642227
33554432,1,4,256,512,0,0.830729
33554432,1,8,256,512,0,0.665461
33554432,1,4,256,1024,0,0.833702
33554432,1,8,256,1024,0,0.676208
33554432,1,4,512,128,0,0.859282
33554432,1,8,512,128,0,0.666236
33554432,1,4,512,256,0,0.841926
33554432,1,8,512,256,0,0.688772
33554432,1,4,512,512,0,0.845697
33554432,1,8,512,512,0,0.689092
33554432,1,4,512,1024,0,0.873087
33554432,1,8,512,1024,0,0.720346
33554432,1,1,256,256,1,1.93644
33554432,1,4,128,1024,1,0.853893
33554432,1,8,128,1024,1,0.687373
33554432,1,4,128,512,1,0.91375
33554432,1,8,128,512,1,0.721029
33554432,1,4,128,256,1,1.04102
33554432,1,8,128,256,1,0.825721
33554432,1,4,128,128,1,1.33722
33554432,1,8,128,128,1,1.02233
33554432,1,4,256,1024,1,0.833133
33554432,1,8,256,1024,1,0.677829
33554432,1,4,256,512,1,0.838117
33554432,1,8,256,512,1,0.661012
33554432,1,4,256,256,1,0.833787
33554432,1,8,256,256,1,0.646581
33554432,1,4,256,128,1,0.990884
33554432,1,8,256,128,1,0.700671
33554432,1,4,512,1024,1,0.873053
33554432,1,8,512,1024,1,0.720695
33554432,1,4,512,512,1,0.843917
33554432,1,8,512,512,1,0.689052
33554432,1,4,512,256,1,0.854306
33554432,1,8,512,256,1,0.68789
33554432,1,4,512,128,1,0.855855
33554432,1,8,512,128,1,0.675568
33554432,1,1,256,256,2,1.91862
