count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,1,8,256,512,2,0.014656
1048576,1,4,256,1024,2,0.0200078
1048576,1,8,256,1024,2,0.0227897
1048576,1,4,512,128,2,0.00794241
1048576,1,8,512,128,2,0.009618
1048576,1,4,512,256,2,0.008713
1048576,1,8,512,256,2,0.0108924
1048576,1,4,512,512,2,0.0121349
1048576,1,8,512,512,2,0.0148486
1048576,1,4,512,1024,2,0.0202696
1048576,1,8,512,1024,2,0.0230287
33554432,0,1,256,256,0,0.268546
33554432,0,4,128,128,0,0.436219
33554432,0,8,128,128,0,0.681407
33554432,0,4,128,256,0,0.380808
33554432,0,8,128,256,0,0.573515
33554432,0,4,128,512,0,0.343248
33554432,0,8,128,512,0,0.526752
33554432,0,4,128,1024,0,0.339058
33554432,0,8,128,1024,0,0.528811
33554432,0,4,256,128,0,0.380602
33554432,0,8,256,128,0,0.573333
33554432,0,4,256,256,0,0.342869
33554432,0,8,256,256,0,0.526657
33554432,0,4,256,512,0,0.33742
33554432,0,8,256,512,0,0.525522
33554432,0,4,256,1024,0,0.334082
33554432,0,8,256,1024,0,0.540544
33554432,0,4,512,128,0,0.342814
33554432,0,8,512,128,0,0.526223
33554432,0,4,512,256,0,0.336342
33554432,0,8,512,256,0,0.523498
33554432,0,4,512,512,0,0.332539
33554432,0,8,512,512,0,0.53562
33554432,0,4,512,1024,0,0.330183
33554432,0,8,512,1024,0,0.539737
33554432,0,1,256,256,1,0.268528
33554432,0,4,128,1024,1,0.338652
33554432,0,8,128,1024,1,0.52853
33554432,0,4,128,512,1,0.342937
33554432,0,8,128,512,1,0.526329
33554432,0,4,128,256,1,0.380373
33554432,0,8,128,256,1,0.573342
33554432,0,4,128,128,1,0.436586
33554432,0,8,128,128,1,0.681761
33554432,0,4,256,1024,1,0.333666
33554432,0,8,256,1024,1,0.541018
33554432,0,4,256,512,1,0.337346
33554432,0,8,256,512,1,0.525876
33554432,0,4,256,256,1,0.34327
33554432,0,8,256,256,1,0.526188
33554432,0,4,256,128,1,0.380573
33554432,0,8,256,128,1,0.573259
33554432,0,4,512,1024,1,0.33028
33554432,0,8,512,1024,1,0.539702
33554432,0,4,512,512,1,0.333177
33554432,0,8,512,512,1,0.536083
33554432,0,4,512,256,1,0.336133
33554432,0,8,512,256,1,0.523133
33554432,0,4,512,128,1,0.342762
33554432,0,8,512,128,1,0.526863
33554432,0,1,256,256,2,0.268377
33554432,0,4,128,128,2,0.436688
33554432,0,8,128,128,2,0.680908
33554432,0,4,128,256,2,0.380783
33554432,0,8,128,256,2,0.57277
33554432,0,4,128,512,2,0.343175
33554432,0,8,128,512,2,0.526168
33554432,0,4,128,1024,2,0.339333
